Pos/0/X,Pos/1/Y
260,560
260,560
260,560
260,560
250,560
250,560
250,560
260,560
260,560
260,560
270,560
280,560
280,560
270,560
260,560
250,560
260,560
250,560
250,560
250,560
250,560
260,560
260,560
250,560
260,560
260,560
260,560
270,560
260,560
250,560
250,560
250,560
250,560
260,560
270,560
270,560
270,560
260,560
260,560
270,560
270,560
280,560
270,560
270,560
280,560
290,560
290,560
290,560
290,560
290,560
280,560
280,560
290,560
300,560
300,560
300,560
310,560
310,560
320,560
320,550
320,550
320,560
320,550
320,550
320,550
320,550
320,550
320,550
320,540
320,540
320,550
320,540
320,550
320,540
320,540
320,540
320,550
320,540
320,530
320,540
320,550
320,550
320,550
320,540
320,540
320,540
320,540
320,550
320,560
330,560
340,560
340,560
330,560
320,560
320,550
320,540
320,550
320,560
330,560
330,560
340,560
340,560
350,560
350,560
340,560
330,560
330,560
340,560
340,560
340,560
330,560
330,560
330,560
320,560
320,560
320,550
320,540
320,550
320,550
320,550
320,550
320,540
320,530
320,540
320,540
320,540
320,540
320,540
320,540
320,550
320,550
320,540
320,540
320,550
320,550
320,560
330,560
320,560
330,560
320,560
330,560
340,560
350,560
350,560
350,560
350,560
360,560
350,560
360,560
360,560
370,560
380,560
380,550
380,540
380,550
380,540
380,530
380,530
380,520
390,520
390,520
390,520
390,520
390,520
400,520
400,520
410,520
410,520
400,520
400,520
400,520
400,520
390,520
390,520
380,520
390,520
400,520
400,520
390,520
390,520
390,520
390,520
380,520
380,520
390,520
390,520
380,520
380,530
380,540
380,540
380,550
380,560
370,560
370,560
380,560
380,570
380,580
380,580
380,580
390,580
400,580
390,580
380,580
380,580
380,580
390,580
390,580
390,580
390,580
390,580
390,580
380,580
390,580
390,580
400,580
410,580
400,580
410,580
420,580
430,580
420,580
420,580
420,580
430,580
430,580
440,580
450,580
440,580
430,580
430,580
440,580
440,580
450,580
460,580
450,580
450,580
450,580
460,580
460,580
470,580
480,580
470,580
470,580
480,580
490,580
490,580
490,580
490,580
500,580
500,580
490,580
490,580
480,580
480,580
480,580
470,580
480,580
480,580
480,580
480,580
490,580
490,580
480,580
480,580
480,580
470,580
470,580
480,580
490,580
480,580
470,580
460,580
460,580
460,580
450,580
460,580
460,580
470,580
460,580
460,580
470,580
470,580
480,580
490,580
480,580
480,580
490,580
490,580
500,580
510,580
510,580
510,580
510,580
510,580
520,580
520,570
520,570
520,560
520,550
520,550
520,550
520,550
520,550
520,550
520,550
520,560
520,570
520,570
520,560
520,550
520,540
520,540
520,530
520,520
520,520
510,520
500,520
490,520
490,520
490,520
500,520
490,520
490,520
490,520
500,520
510,520
510,520
520,520
520,530
520,520
520,520
520,520
510,520
500,520
510,520
500,520
500,510
500,500
500,500
500,500
500,500
500,500
500,490
500,480
500,480
500,490
500,490
500,490
500,490
500,480
500,490
500,480
500,480
500,470
500,480
500,470
500,460
500,470
500,480
500,480
500,470
500,470
500,460
500,450
500,440
490,440
490,440
490,440
480,440
470,440
460,440
470,440
460,440
460,440
460,440
460,440
460,440
460,440
470,440
460,440
460,440
460,440
460,440
450,440
450,440
440,440
430,440
420,440
420,440
420,440
420,440
430,440
420,440
410,440
420,440
410,440
410,440
420,440
420,440
420,440
410,440
410,440
410,440
420,440
420,440
430,440
440,440
430,440
430,440
420,440
430,440
430,440
440,440
450,440
450,440
460,440
460,440
450,440
440,440
430,440
430,440
430,440
440,440
430,440
440,440
430,440
430,440
430,440
430,440
440,440
450,440
450,440
460,440
460,440
470,440
480,440
480,440
490,440
480,440
480,440
490,440
480,440
